round	before	after	delta	action	kept	timestamp
1	97.16	97.16	0.00	테스트 커버리지를 올려주세요. 현재 78.1%.	True	2026-04-11T01:12:40.192377
round	before	after	delta	action	kept	timestamp
1	97.16	97.16	0.00	테스트 커버리지를 올려주세요. 현재 78.1%.	True	2026-04-11T01:24:56.251292
2	97.16	97.16	0.00	테스트 커버리지를 올려주세요. 현재 78.1%.	True	2026-04-11T01:30:46.991315
2	97.16	97.16	0.00	테스트 커버리지를 올려주세요. 현재 78.1%.	True	2026-04-11T01:43:19.076451
3	97.16	97.16	0.00	테스트 커버리지를 올려주세요. 현재 78.1%.	True	2026-04-11T01:49:07.542343
3	97.16	97.16	0.00	테스트 커버리지를 올려주세요. 현재 78.1%.	True	2026-04-11T02:01:30.042725
4	97.16	97.16	0.00	테스트 커버리지를 올려주세요. 현재 78.1%.	True	2026-04-11T02:07:25.878794
4	97.16	97.16	0.00	테스트 커버리지를 올려주세요. 현재 78.1%.	True	2026-04-11T02:19:50.060940
5	97.16	97.12	-0.04	테스트 커버리지를 올려주세요. 현재 78.1%.	False	2026-04-11T02:37:58.673282
6	97.16	97.16	0.00	테스트 커버리지를 올려주세요. 현재 78.1%.	True	2026-04-11T02:43:49.314692
6	97.16	97.16	0.00	테스트 커버리지를 올려주세요. 현재 78.1%.	True	2026-04-11T02:56:06.490703
7	97.16	97.16	0.00	테스트 커버리지를 올려주세요. 현재 78.1%.	True	2026-04-11T03:01:59.826154
7	97.16	97.16	0.00	테스트 커버리지를 올려주세요. 현재 78.1%.	True	2026-04-11T03:14:12.489535
8	97.16	97.16	0.00	테스트 커버리지를 올려주세요. 현재 78.1%.	True	2026-04-11T03:20:08.473106
8	97.16	97.16	0.00	테스트 커버리지를 올려주세요. 현재 78.1%.	True	2026-04-11T03:32:23.569603
9	97.16	97.16	0.00	테스트 커버리지를 올려주세요. 현재 78.1%.	True	2026-04-11T03:38:19.215092
9	97.16	97.16	0.00	테스트 커버리지를 올려주세요. 현재 78.1%.	True	2026-04-11T03:50:38.760584
10	97.16	97.16	0.00	테스트 커버리지를 올려주세요. 현재 78.1%.	True	2026-04-11T03:56:21.095997
10	97.16	97.16	0.00	테스트 커버리지를 올려주세요. 현재 78.1%.	True	2026-04-11T04:09:00.647494
11	97.16	97.16	0.00	테스트 커버리지를 올려주세요. 현재 78.1%.	True	2026-04-11T04:14:43.887889
11	97.16	97.16	0.00	테스트 커버리지를 올려주세요. 현재 78.1%.	True	2026-04-11T04:27:10.093066
12	97.16	97.16	0.00	테스트 커버리지를 올려주세요. 현재 78.1%.	True	2026-04-11T04:32:54.164815
12	97.16	97.16	0.00	테스트 커버리지를 올려주세요. 현재 78.1%.	True	2026-04-11T04:45:24.825661
13	97.16	97.12	-0.04	테스트 커버리지를 올려주세요. 현재 78.1%.	False	2026-04-11T05:03:29.567886
14	97.16	92.30	-4.86	테스트 커버리지를 올려주세요. 현재 78.1%.	False	2026-04-11T05:22:08.228578
15	97.16	97.16	0.00	테스트 커버리지를 올려주세요. 현재 78.1%.	True	2026-04-11T05:28:22.541705
