round	feature	status	passed_tests	files_changed	commit
1	arXiv 논문 검색/조회 API 연결	keep	3404	2	255c2de
2	상세 헬스체크 API	keep	3408	2	26a18f7
3	API 응답 시간 로깅 미들웨어	keep	3411	2	37a65e9
4	GitHub README 추출 API	keep	3414	2	56a70cc
5	스타일 목록 API	keep	3418	2	25ffa9b
6	캐시 통계 API	keep	3421	2	82e8bbd
7	HTML 내보내기 API	keep	3424	2	bbd43b0
8	콘텐츠 통계 분석 API	keep	3427	2	1467ebe
9	앱 버전 정보 API	keep	3430	2	5e2b2da
10	프롬프트 시스템 정보 API	keep	3433	2	e9b5698
11	쿼리 파라미터 상한 검증	keep	3440	4	035d605
12	생성 응답 char_count/word_count	keep	3442	2	a277784
13	캐시 히트 응답 통계 일관성	keep	3443	2	2ad1864
14	ZIP meta.json generated_at	keep	3450	2	9186507
15	rewrite compression_ratio	keep	3455	2	f255abe
16	playlist-videos 메모리 캐시	keep	3460	2	ae3d730
17	자막 추출 시간 로깅	keep	3462	2	475c6f1
18	대시보드 avg_generation_time	keep	3463	2	1f11f73
19	웹훅 실패 카운터 + health 노출	keep	3467	3	9e101a8
20	DOCX Content-Length 헤더	keep	3472	2	ee40ed0
